objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
wp_87_Normalized,117,166,502,34,361,5,14,0,0,4,0,0,1,0,43,6,true,false,true,2,,13062022_215812,0,1309f5802593d673c53c7730e652ea21f5e98596,pcattouche
wp_86_Normalized,118,166,5,0,0,0,1,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
wp_82_Normalized,133,166,5,0,1,0,1,0,0,0,0,0,0,0,1,1,true,false,true,2,,,,,
wp_59_Normalized,133,230,9,0,1,0,1,0,1,1,0,0,0,0,1,1,true,false,true,2,,,,,
wp_61_Normalized,145,166,3,0,0,0,0,0,0,1,0,0,0,0,0,1,true,false,true,2,,,,,
wp_60_Normalized,147,166,3,0,0,0,0,0,0,1,0,0,0,0,1,1,true,false,true,2,,,,,
wp_66_Normalized,154,166,3,0,0,0,0,0,0,1,0,0,0,0,1,1,true,false,true,2,,,,,
wp_90_Normalized,154,166,4,1,0,0,0,0,0,0,0,1,0,0,1,1,true,false,true,2,,,,,
wp_95_Normalized,159,196,26,0,1,0,3,0,0,1,0,0,3,0,8,5,true,false,true,2,,,,,
wp_69_Normalized,163,166,4,1,0,0,0,0,0,1,0,0,0,0,1,1,true,false,true,2,,,,,
wp_36_Normalized,164,196,5,0,0,0,1,0,1,0,0,0,1,0,1,1,true,false,true,2,,,,,
wp_70_Normalized,171,166,3,0,0,0,1,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
wp_71_Normalized,180,166,3,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
wp_39_Normalized,196,166,3,0,0,0,0,0,0,1,0,0,0,0,1,1,true,false,true,2,,,,,
wp_44_Normalized,196,433,33,0,1,0,2,0,5,1,2,0,1,1,18,0,true,false,true,2,,,,,
wp_56_Normalized,206,166,3,0,0,0,0,0,0,1,0,0,0,0,1,1,true,false,true,2,,,,,
wp_108_Normalized,217,756,20,0,0,1,1,0,0,1,0,0,4,0,7,0,true,false,true,2,,,,,
wp_50_Normalized,225,166,2,0,0,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
wp_40_Normalized,242,166,2,0,0,0,0,0,1,0,0,0,0,0,1,0,true,false,true,2,,,,,
wp_46_Normalized,244,811,18,0,1,9,2,0,0,1,1,0,1,0,2,1,true,false,true,2,,,,,
wp_52_Normalized,253,166,3,1,0,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
wp_64_Normalized,256,706,9,0,0,0,0,0,0,1,0,1,4,0,0,0,true,false,true,2,,,,,
wp_97_Normalized,283,240,3,0,0,0,1,0,0,0,0,1,0,0,0,1,true,false,true,2,,,,,
wp_92_Normalized,290,166,2,0,0,0,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
wp_38_Normalized,293,647,6,0,0,0,1,0,1,1,0,0,0,1,1,1,true,false,true,2,,,,,
wp_99_Normalized,316,166,3,0,0,0,1,0,0,0,0,0,0,0,1,1,true,false,true,2,,,,,
wp_101_Normalized,329,166,2,0,0,0,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
wp_43_Normalized,334,166,2,0,0,0,0,0,0,0,0,1,0,0,1,0,true,false,true,2,,,,,
wp_88_Normalized,360,1548,10,0,0,0,1,0,1,1,1,0,1,1,1,0,true,false,true,2,,,,,
wp_67_Normalized,373,166,2,0,0,0,0,1,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
wp_41_Normalized,401,821,6,0,0,0,1,0,0,1,0,1,0,0,1,1,true,false,true,2,,,,,
wp_42_Normalized,500,166,2,0,0,0,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
wp_54_Normalized,549,742,10,0,0,0,0,0,0,0,0,0,6,0,1,0,true,false,true,2,,,,,
wp_62_Normalized,571,988,15,0,0,0,0,0,0,1,0,0,2,0,1,8,true,false,true,2,,,,,
wp_77_Normalized,579,504,5,1,0,0,1,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
wp_91_Normalized,627,1364,13,0,1,1,1,0,0,1,0,3,1,0,1,1,true,false,true,2,,,,,
wp_55_Normalized,634,1364,9,0,0,1,0,0,0,1,0,0,1,0,1,2,true,false,true,2,,,,,
wp_93_Normalized,640,724,8,0,0,0,1,0,0,1,0,0,4,0,1,0,true,false,true,2,,,,,
wp_58_Normalized,642,2600,18,0,1,0,1,0,0,1,3,0,3,1,3,0,true,false,true,2,,,,,
wp_65_Normalized,659,1364,8,0,0,1,0,0,1,0,0,0,1,0,1,2,true,false,true,2,,,,,
wp_106_Normalized,680,1201,10,0,0,0,2,0,1,1,0,0,1,0,1,2,true,false,true,2,,,,,
wp_49_Normalized,753,1759,12,0,0,1,1,0,1,1,0,0,4,1,1,0,true,false,true,2,,,,,
wp_120_Normalized,808,1607,13,0,1,0,2,0,1,1,0,0,2,0,2,2,true,false,true,2,,,,,
wp_109_Normalized,832,1849,17,0,1,0,4,0,1,1,0,0,2,1,3,2,true,false,true,2,,,,,
wp_72_Normalized,858,975,5,0,0,0,0,0,0,0,1,1,1,0,0,1,true,false,true,2,,,,,
wp_110_Normalized,913,1650,12,1,0,0,1,0,0,2,0,0,1,0,1,2,true,false,true,2,,,,,
wp_122_Normalized,1066,1751,10,0,0,1,0,0,1,1,0,0,2,1,2,1,true,false,true,2,,,,,
wp_104_Normalized,1072,1301,11,0,0,0,0,0,1,1,1,0,3,2,1,1,true,false,true,2,,,,,
wp_102_Normalized,1135,1708,15,0,1,1,5,0,1,1,0,0,2,0,1,0,true,false,true,2,,,,,
wp_84_Normalized,1184,2022,9,0,1,0,1,0,0,1,2,1,1,0,1,0,true,false,true,2,,,,,
wp_121_Normalized,1220,1575,12,0,0,0,1,0,3,1,1,0,4,0,0,1,true,false,true,2,,,,,
wp_63_Normalized,1230,1084,4,0,1,0,0,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
wp_45_Normalized,1252,1733,18,0,0,0,8,0,2,0,0,0,4,1,1,0,true,false,true,2,,,,,
wp_37_Normalized,1290,6915,94,0,1,0,11,0,4,2,1,1,68,1,2,1,true,false,true,2,,,,,
wp_76_Normalized,1300,1943,15,0,0,3,4,0,0,0,0,1,2,0,1,0,true,false,true,2,,,,,
wp_89_Normalized,1605,1536,13,0,0,0,6,0,2,0,0,0,2,1,1,0,true,false,true,2,,,,,
wp_80_Normalized,1652,2227,17,0,0,1,6,0,2,1,1,0,3,1,1,0,true,false,true,2,,,,,
wp_10_Normalized,1721,3109,17,1,0,0,1,0,1,1,0,0,5,0,1,3,true,false,true,2,,,,,
wp_85_Normalized,1750,2529,18,0,0,1,7,0,1,1,0,0,4,0,1,0,true,false,true,2,,,,,
wp_119_Normalized,2303,2398,19,0,0,1,6,0,1,2,0,0,4,1,2,1,true,false,true,2,,,,,
wp_68_Normalized,2344,5481,24,0,0,0,8,0,1,2,2,1,3,0,1,1,true,false,true,2,,,,,
wp_75_Normalized,2349,3120,30,0,0,1,10,0,1,1,0,0,5,1,2,0,true,false,true,2,,,,,
wp_115_Normalized,2424,3365,32,1,0,0,10,0,1,2,2,0,7,2,2,2,true,false,true,2,,,,,
wp_22_Normalized,2696,3276,17,1,0,0,6,0,1,1,1,0,3,0,1,1,true,false,true,2,,,,,
wp_111_Normalized,2754,5332,21,0,0,0,7,0,1,1,1,0,4,0,2,0,true,false,true,2,,,,,
wp_48_Normalized,2754,7503,20,0,0,0,3,0,1,2,3,0,5,1,1,0,true,false,true,2,,,,,
wp_79_Normalized,2790,3410,20,0,0,1,8,0,1,1,0,0,4,0,1,0,true,false,true,2,,,,,
wp_32_Normalized,2819,3664,18,0,0,0,6,0,1,2,1,0,3,0,1,2,true,false,true,2,,,,,
wp_24_Normalized,2829,3459,18,0,0,0,6,0,0,1,0,1,3,1,1,1,true,false,true,2,,,,,
wp_18_Normalized,2905,3672,17,0,0,0,6,0,1,1,0,1,3,1,2,1,true,false,true,2,,,,,
wp_25_Normalized,2930,4087,23,0,0,1,6,0,1,2,1,0,4,0,2,2,true,false,true,2,,,,,
wp_19_Normalized,2958,3849,20,0,0,0,6,0,1,1,0,0,3,1,2,1,true,false,true,2,,,,,
wp_20_Normalized,3139,3819,22,0,0,0,6,0,0,1,0,0,5,1,1,1,true,false,true,2,,,,,
wp_57_Normalized,3211,14458,114,0,1,1,11,0,3,5,5,1,62,5,4,1,true,false,true,3,,,,,
wp_30_Normalized,3214,4057,22,0,0,0,7,0,1,2,1,0,4,0,2,2,true,false,true,2,,,,,
wp_114_Normalized,3315,4416,23,0,0,1,7,0,1,1,1,0,5,0,2,2,true,false,true,2,,,,,
wp_34_Normalized,3589,4699,22,0,0,0,7,0,0,1,1,0,4,0,2,2,true,false,true,2,,,,,
wp_103_Normalized,3621,5096,26,1,0,0,1,0,0,2,2,0,6,7,2,1,true,false,true,2,,,,,
wp_51_Normalized,3689,3909,19,0,0,1,7,0,2,1,1,0,3,0,2,0,true,false,true,2,,,,,
wp_112_Normalized,4072,8210,29,0,0,0,8,0,1,3,3,0,5,1,2,2,true,false,true,2,,,,,
wp_107_Normalized,4292,3888,16,0,0,0,5,0,1,1,0,0,4,0,1,1,true,false,true,2,,,,,
wp_21_Normalized,4598,9845,64,0,8,1,19,0,7,2,6,2,7,0,2,3,true,false,true,2,,,,,
wp_113_Normalized,4621,9972,53,0,1,0,10,0,2,3,2,1,19,3,2,3,true,false,true,3,,,,,
wp_47_Normalized,4765,3913,18,0,0,1,7,0,0,1,1,0,3,0,1,0,true,false,true,2,,,,,
wp_74_Normalized,4842,10095,58,0,0,1,26,0,7,3,4,0,10,1,1,1,true,false,true,2,,,,,
wp_116_Normalized,5076,6628,32,0,1,0,10,0,2,2,0,0,7,0,2,3,true,false,true,2,,,,,
wp_33_Normalized,5213,7649,32,0,0,0,8,0,0,2,1,1,11,0,3,2,true,false,true,2,,,,,
wp_11_Normalized,5304,8391,29,0,0,0,9,0,1,2,1,1,7,1,1,2,true,false,true,2,,,,,
wp_13_Normalized,5621,5949,28,0,0,0,10,0,0,2,1,0,7,0,2,2,true,false,true,2,,,,,
wp_28_Normalized,5664,14795,57,0,0,0,11,0,1,3,1,1,27,2,4,2,true,false,true,2,,,,,
wp_12_Normalized,5757,8847,37,0,0,1,10,0,2,2,7,0,6,1,1,2,true,false,true,2,,,,,
wp_117_Normalized,5770,5942,21,0,1,0,6,0,1,2,1,0,6,0,2,0,true,false,true,2,,,,,
wp_29_Normalized,5872,13576,46,0,0,0,12,0,1,3,1,1,20,2,2,1,true,false,true,2,,,,,
wp_16_Normalized,5990,8148,29,0,0,0,6,0,2,3,2,1,8,1,1,2,true,false,true,2,,,,,
wp_23_Normalized,6047,6619,27,0,0,1,9,0,1,2,1,0,6,1,2,2,true,false,true,2,,,,,
wp_73_Normalized,6162,7536,38,1,0,0,18,0,2,2,1,0,7,0,2,0,true,false,true,2,,,,,
wp_14_Normalized,6449,13117,54,0,0,0,11,0,1,3,2,0,23,2,3,2,true,false,true,3,,,,,
wp_118_Normalized,6845,8045,24,0,0,1,6,0,0,2,1,0,7,1,2,0,true,false,true,2,,,,,
wp_81_Normalized,7837,14958,57,0,0,1,22,0,4,3,3,1,12,1,2,1,true,false,true,2,,,,,
wp_31_Normalized,8311,9730,37,0,0,1,9,0,1,3,1,0,9,1,2,1,true,false,true,2,,,,,
wp_2_Normalized,8902,12198,35,0,0,1,4,0,2,4,2,0,11,0,2,3,true,false,true,2,,,,,
wp_100_Normalized,9749,18917,66,0,0,1,15,0,3,4,3,1,23,5,2,0,true,false,true,3,,,,,
